,validated_time_rate,validated_time_rate_1,highest_version_mean_validated,highest_version_mean_validated_1,time_consulting_help,time_consulting_help_1,mean_test_per_subject,mean_test_per_subject_1,mean_size_modification_per_test,mean_size_modification_per_test_1,mean_modification_per_subject,mean_modification_per_subject_1,mean_time_active,mean_time_active_1,experimentation_quality,experimentation_quality_1,validation_quality,validation_quality_1,score,score_1
562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.741935,92.051282,0.0,0.0,0.0,0.0,0.0,0.0
566,0.0,0.01972222222222222,0.0,3.0,22.0,22.0,10.0,10.0,292.8,280.43333333333334,111.0,104.66666666666667,1.75808,1.229059,0.0,0.0,0.12142857142857143,0.18846153846153849,0.0,30.0
573,0.41333333333333333,0.31333333333333335,3.0,3.0,0.0,0.0,3.625,4.583333333333333,239.9655172413793,302.96363636363634,33.5,56.833333333333336,0.390153,0.369241,0.0,0.0,0.4222222222222221,0.30487804878048763,90.0,120.0
610,0.11055555555555556,0.05527777777777778,2.0,2.0,47.0,47.0,3.0,3.0,141.16666666666666,141.16666666666666,9.0,9.0,3.887445,7.766738,1.0,1.0,0.4625,0.4625,40.0,40.0
995,0.6011111111111112,0.9341666666666667,2.75,2.5,3.0,25.0,5.428571428571429,6.1,182.8421052631579,146.44262295081967,30.571428571428573,38.2,0.760509,0.84514,1.0,0.9166666666666666,0.4105263157894735,0.3171052631578945,110.0,150.0
996,0.8222222222222222,0.8666666666666667,2.8,2.5714285714285716,0.0,0.0,5.9,6.083333333333333,170.79661016949152,150.08219178082192,35.9,42.166666666666664,0.405826,0.542043,0.0,0.0,0.2999999999999998,0.2909999999999998,140.0,180.0
1000,0.525,0.8877777777777778,2.75,2.4285714285714284,0.0,13.0,4.0,4.9,255.89285714285714,171.73469387755102,34.0,38.6,0.624693,0.67801,0.0,0.9,0.3181818181818181,0.28815789473684195,110.0,170.0
1001,0.5694444444444444,0.5116666666666667,3.2,3.1666666666666665,5.0,5.0,2.3333333333333335,3.2,364.76190476190476,369.9375,41.111111111111114,60.7,0.316012,0.39911,0.0,0.0,0.5071428571428571,0.3839999999999999,160.0,190.0
1002,0.5522222222222222,0.36666666666666664,3.0,3.0,0.0,3.0,8.5,5.555555555555555,140.26470588235293,195.06,52.0,41.55555555555556,0.573723,0.724737,0.0,0.0,0.2833333333333332,0.29264705882352926,60.0,120.0
1005,0.33944444444444444,0.32805555555555554,2.0,2.4285714285714284,0.0,0.0,3.625,4.666666666666667,150.10344827586206,195.46428571428572,21.0,29.416666666666668,0.73788,0.675178,0.0,0.0,0.695,0.4826923076923076,120.0,170.0
1007,0.07833333333333334,0.03916666666666667,4.0,4.0,0.0,0.0,4.333333333333333,9.0,376.15384615384613,284.81481481481484,66.66666666666667,104.0,0.633827,0.769972,0.0,0.0,0.5,0.24117647058823533,40.0,40.0
1010,0.83,0.8258333333333333,3.0,2.6666666666666665,4.0,4.0,2.7142857142857144,2.8,437.4736842105263,400.25,25.571428571428573,32.0,0.755333,0.810593,0.0,0.0,0.33125,0.31199999999999994,120.0,160.0
1011,0.18555555555555556,0.09277777777777778,3.0,3.0,0.0,0.0,3.5,12.25,329.42857142857144,254.16326530612244,18.5,78.0,1.191517,0.706182,0.0,0.0,0.4083333333333334,0.17499999999999977,60.0,60.0
1014,0.14444444444444443,0.6033333333333334,3.0,3.5,3.0,3.0,2.6,7.0,388.84615384615387,183.71428571428572,30.6,54.5,0.7644,0.683081,0.0,0.0,0.875,0.26249999999999984,60.0,70.0
1029,0.14277777777777778,0.07138888888888889,2.0,2.0,22.0,22.0,5.5,5.5,60.09090909090909,60.09090909090909,13.5,13.5,2.689024,5.432926,0.6666666666666666,0.6666666666666666,0.45,0.45,20.0,20.0
1142,0.7816666666666666,0.8202777777777778,3.5714285714285716,3.75,0.0,0.0,1.263157894736842,1.4090909090909092,686.9583333333334,642.5483870967741,22.736842105263158,28.0,0.379084,0.449412,0.0,0.0,0.5312499999999999,0.5177419354838709,250.0,300.0
1153,0.9627777777777777,0.9194444444444444,2.0,2.0,0.0,0.0,4.0,6.75,220.125,151.37037037037038,49.0,57.0,1.587455,1.46398,0.0,0.0,0.38571428571428573,0.2739999999999999,40.0,60.0
1182,0.435,0.7294444444444445,3.0,2.8,0.0,0.0,1.4285714285714286,1.5454545454545454,550.0,503.70588235294116,21.428571428571427,25.545454545454547,3.977876,4.525786,0.0,0.0,0.45500000000000007,0.4264705882352941,90.0,140.0
1578,0.3411111111111111,0.17055555555555554,2.5,2.5,31.0,31.0,2.25,2.25,472.1111111111111,472.1111111111111,72.25,79.0,0.588489,1.09613,1.0,1.0,0.6,0.6,50.0,50.0
1617,0.2544444444444444,0.35055555555555556,4.0,3.0,305.0,305.0,10.5,13.875,130.8095238095238,135.26126126126127,31.5,60.625,0.71672,0.567653,0.625,0.625,0.15769230769230771,0.16447368421052616,40.0,60.0
1628,0.25833333333333336,0.6208333333333333,4.0,3.3333333333333335,0.0,6.0,10.0,14.5,318.9,169.77586206896552,79.5,75.75,0.819634,0.868567,0.0,1.0,0.22500000000000003,0.22428571428571423,40.0,100.0
1645,0.5916666666666667,0.40694444444444444,4.0,3.5,0.0,32.0,2.0,2.3333333333333335,1673.6666666666667,1105.5714285714287,105.33333333333333,78.22222222222223,0.63243,0.608798,0.0,0.0,0.375,0.27380952380952384,40.0,70.0
1646,0.6166666666666667,0.6472222222222223,3.5,3.6666666666666665,0.0,0.0,1.5,2.1666666666666665,2078.6666666666665,1089.3846153846155,107.0,76.66666666666667,0.889549,0.869439,0.0,0.0,0.5499999999999999,0.3846153846153845,70.0,110.0
1653,0.9344444444444444,0.6577777777777778,2.6666666666666665,2.5,0.0,0.0,7.2,14.428571428571429,181.13888888888889,87.89108910891089,53.8,75.71428571428571,0.61724,0.608142,0.0,0.0,0.29074074074074074,0.17197802197802176,80.0,100.0
