validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe2	Classe1	Classe2	Classe1	Classe1	Classe1	Classe1	Classe1	Classe3	Classe1	Classe2	Classe1	Classe6	Classe1	Classe1	Classe1	Classe5	Classe1	Low	Low	0.971027	0.0289729	Low
Classe3	Classe1	Classe2	Classe1	Classe4	Classe1	Classe4	Classe2	Classe1	Classe2	Classe3	Classe2	Classe5	Classe6	Classe3	Classe5	Classe4	Classe3	High	Low	0.64355	0.35645	Low
Classe3	Classe2	Classe4	Classe2	Classe1	Classe1	Classe2	Classe2	Classe3	Classe2	Classe4	Classe3	Classe4	Classe3	Classe3	Classe1	Classe4	Classe3	Low	Low	0.788844	0.211156	Low
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe2	Classe4	Classe5	Classe4	Classe3	Classe3	Classe5	Classe3	Classe1	Classe4	Classe3	Low	Low	0.795212	0.204788	Low
Classe4	Classe2	Classe3	Classe4	Classe1	Classe1	Classe2	Classe2	Classe3	Classe5	Classe4	Classe4	Classe3	Classe5	Classe1	Classe1	Classe4	Classe4	High	Low	0.708561	0.291439	Low
Classe3	Classe2	Classe3	Classe3	Classe1	Classe1	Classe3	Classe4	Classe3	Classe2	Classe3	Classe3	Classe3	Classe5	Classe3	Classe5	Classe3	Classe3	High	Low	0.612232	0.387768	Low
Classe5	Classe1	Classe2	Classe1	Classe3	Classe1	Classe3	Classe3	Classe2	Classe4	Classe3	Classe4	Classe4	Classe3	Classe3	Classe1	Classe4	Classe3	High	Low	0.948937	0.0510627	Low
Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe2	Classe2	Classe5	Classe4	Classe4	Classe3	Classe5	Classe3	Classe5	Classe3	Classe5	Low	Low	0.786426	0.213574	Low
Classe2	Classe1	Classe4	Classe1	Classe1	Classe1	Classe6	Classe2	Classe2	Classe3	Classe5	Classe4	Classe3	Classe5	Classe3	Classe1	Classe3	Classe3	Low	Low	0.841242	0.158758	Low
Classe4	Classe1	Classe4	Classe4	Classe1	Classe1	Classe2	Classe2	Classe4	Classe5	Classe3	Classe3	Classe3	Classe3	Classe3	Classe1	Classe3	Classe3	High	Low	0.805856	0.194144	Low
Classe2	Classe2	Classe2	Classe2	Classe1	Classe1	Classe3	Classe3	Classe3	Classe2	Classe4	Classe3	Classe3	Classe4	Classe1	Classe1	Classe3	Classe3	Low	Low	0.834279	0.165721	Low
Classe4	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe2	Classe4	Classe4	Classe4	Classe2	Classe4	Classe5	Classe3	Classe3	Classe4	Classe3	High	Low	0.665524	0.334476	Low
Classe2	Classe1	Classe4	Classe1	Classe1	Classe1	Classe1	Classe1	Classe5	Classe1	Classe2	Classe1	Classe5	Classe6	Classe3	Classe1	Classe5	Classe1	High	Low	0.959913	0.0400868	Low
Classe4	Classe2	Classe2	Classe2	Classe1	Classe1	Classe2	Classe1	Classe3	Classe5	Classe3	Classe2	Classe4	Classe5	Classe3	Classe5	Classe4	Classe5	Low	Low	0.607313	0.392687	Low
Classe1	Classe2	Classe1	Classe2	Classe1	Classe1	Classe3	Classe3	Classe2	Classe1	Classe4	Classe3	Classe3	Classe4	Classe3	Classe4	Classe3	Classe4	Low	Low	0.115507	0.884493	High
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe3	Classe2	Classe4	Classe4	Classe4	Classe3	Classe4	Classe3	Classe5	Classe3	Classe4	Low	Low	0.715245	0.284755	Low
Classe3	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe5	Classe3	Classe3	Classe3	Classe4	Classe4	Classe1	Classe1	Classe4	Classe3	Low	Low	0.592193	0.407807	Low
Classe4	Classe1	Classe3	Classe2	Classe1	Classe1	Classe3	Classe2	Classe3	Classe4	Classe3	Classe3	Classe5	Classe5	Classe3	Classe1	Classe5	Classe4	Low	Low	0.7304	0.2696	Low
Classe5	Classe3	Classe3	Classe3	Classe1	Classe1	Classe2	Classe1	Classe4	Classe2	Classe3	Classe2	Classe5	Classe4	Classe3	Classe5	Classe5	Classe5	High	High	0.265826	0.734174	High
Classe3	Classe4	Classe4	Classe2	Classe1	Classe1	Classe2	Classe2	Classe5	Classe3	Classe3	Classe3	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	High	Low	0.767769	0.232231	Low
Classe1	Classe2	Classe1	Classe4	Classe1	Classe1	Classe6	Classe3	Classe2	Classe3	Classe5	Classe3	Classe4	Classe4	Classe1	Classe1	Classe2	Classe3	Low	Low	0.807988	0.192012	Low
Classe3	Classe1	Classe2	Classe1	Classe1	Classe1	Classe3	Classe3	Classe2	Classe2	Classe4	Classe4	Classe5	Classe4	Classe1	Classe5	Classe4	Classe3	Low	Low	0.719431	0.280569	Low
Classe3	Classe3	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe3	Classe3	Classe3	Classe3	Classe5	Classe3	Classe1	Classe5	Classe4	Classe3	Low	Low	0.693196	0.306804	Low
Classe2	Classe5	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe5	Classe4	Classe2	Classe3	Classe5	Classe3	Classe1	Classe5	Classe4	Classe4	High	High	0.164128	0.835872	High
Classe1	Classe4	Classe1	Classe2	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe6	Classe5	Classe1	Classe5	Classe1	Classe5	Low	Low	0.42273	0.57727	High
Classe5	Classe2	Classe4	Classe3	Classe1	Classe2	Classe1	Classe2	Classe5	Classe2	Classe3	Classe3	Classe5	Classe4	Classe1	Classe5	Classe4	Classe4	Low	Low	0.275744	0.724256	High
Classe4	Classe3	Classe3	Classe3	Classe1	Classe1	Classe4	Classe2	Classe3	Classe5	Classe4	Classe5	Classe3	Classe4	Classe3	Classe5	Classe4	Classe4	Low	Low	0.276971	0.723029	High
Classe5	Classe2	Classe4	Classe2	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	Classe1	Classe5	Classe5	Classe4	High	High	0.481431	0.518569	High
Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe6	Classe1	Classe1	Classe1	Classe1	Classe1	Low	Low	0.97763	0.02237	Low
Classe3	Classe1	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe5	Classe5	Classe5	Classe5	Classe3	Classe3	Classe1	Classe1	Classe4	Classe4	Low	Low	0.401739	0.598261	High
Classe1	Classe2	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe5	Classe1	Classe5	Classe1	Classe5	Low	Low	0.267511	0.732489	High
Classe3	Classe1	Classe2	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe3	Classe1	Classe5	Classe1	Classe3	Classe1	Classe5	Classe1	High	Low	0.959918	0.0400819	Low
Classe4	Classe1	Classe3	Classe3	Classe3	Classe4	Classe2	Classe4	Classe3	Classe4	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.611411	0.388589	Low
Classe3	Classe5	Classe3	Classe3	Classe2	Classe1	Classe3	Classe2	Classe3	Classe3	Classe3	Classe3	Classe3	Classe3	Classe4	Classe5	Classe4	Classe5	High	High	0.0990853	0.900915	High
Classe4	Classe3	Classe3	Classe3	Classe3	Classe2	Classe2	Classe2	Classe3	Classe2	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.262529	0.737471	High
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe3	Classe5	Classe3	Classe4	Classe3	Classe5	Classe3	Classe1	Classe4	Classe4	High	High	0.561917	0.438083	Low
Classe2	Classe3	Classe4	Classe3	Classe3	Classe1	Classe6	Classe2	Classe1	Classe4	Classe3	Classe3	Classe4	Classe3	Classe3	Classe5	Classe3	Classe5	Low	Low	0.344649	0.655351	High
Classe2	Classe1	Classe2	Classe1	Classe1	Classe1	Classe1	Classe3	Classe3	Classe3	Classe2	Classe4	Classe6	Classe3	Classe1	Classe1	Classe5	Classe3	Low	Low	0.916131	0.0838686	Low
Classe2	Classe2	Classe3	Classe2	Classe1	Classe1	Classe3	Classe6	Classe3	Classe1	Classe5	Classe5	Classe3	Classe3	Classe1	Classe1	Classe3	Classe3	Low	Low	0.823321	0.176679	Low
Classe1	Classe2	Classe1	Classe4	Classe1	Classe1	Classe5	Classe2	Classe5	Classe5	Classe5	Classe2	Classe3	Classe5	Classe1	Classe4	Classe2	Classe5	Low	Low	0.564374	0.435626	Low
Classe5	Classe4	Classe3	Classe3	Classe1	Classe2	Classe2	Classe2	Classe5	Classe5	Classe3	Classe4	Classe4	Classe4	Classe3	Classe5	Classe5	Classe4	High	High	0.415125	0.584875	High
Classe5	Classe4	Classe2	Classe3	Classe1	Classe1	Classe3	Classe2	Classe2	Classe4	Classe3	Classe4	Classe3	Classe4	Classe3	Classe5	Classe4	Classe5	High	High	0.431414	0.568586	High
Classe4	Classe1	Classe4	Classe1	Classe1	Classe1	Classe4	Classe1	Classe2	Classe1	Classe4	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe1	Low	Low	0.968524	0.0314764	Low
Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe2	Classe2	Classe5	Classe3	Classe2	Classe3	Classe6	Classe3	Classe5	Classe4	Classe2	High	High	0.916137	0.0838631	Low
Classe5	Classe2	Classe3	Classe3	Classe1	Classe1	Classe3	Classe4	Classe2	Classe2	Classe4	Classe4	Classe4	Classe4	Classe3	Classe5	Classe4	Classe3	High	High	0.72447	0.27553	Low
Classe4	Classe2	Classe3	Classe4	Classe1	Classe1	Classe3	Classe5	Classe2	Classe2	Classe4	Classe5	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.289223	0.710777	High
Classe4	Classe1	Classe4	Classe1	Classe1	Classe1	Classe2	Classe4	Classe3	Classe2	Classe3	Classe5	Classe3	Classe4	Classe3	Classe5	Classe4	Classe4	High	High	0.934414	0.0655864	Low
Classe4	Classe3	Classe4	Classe3	Classe1	Classe1	Classe6	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe3	Low	Low	0.781945	0.218055	Low
Classe1	Classe3	Classe1	Classe4	Classe2	Classe1	Classe1	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe3	Classe3	Classe5	Classe1	Classe3	Low	Low	0.615871	0.384129	Low
Classe3	Classe2	Classe3	Classe2	Classe4	Classe4	Classe3	Classe3	Classe3	Classe3	Classe3	Classe4	Classe3	Classe3	Classe3	Classe1	Classe3	Classe3	High	Low	0.426391	0.573609	High
Classe5	Classe3	Classe3	Classe4	Classe1	Classe1	Classe4	Classe3	Classe1	Classe5	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe4	High	High	0.455467	0.544533	High
Classe3	Classe2	Classe3	Classe2	Classe2	Classe2	Classe3	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe3	High	Low	0.474019	0.525981	High
Classe4	Classe2	Classe3	Classe3	Classe2	Classe1	Classe2	Classe4	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe5	Classe4	Classe3	High	High	0.714493	0.285507	Low
Classe2	Classe5	Classe4	Classe4	Classe1	Classe1	Classe2	Classe3	Classe2	Classe3	Classe2	Classe3	Classe5	Classe3	Classe3	Classe5	Classe4	Classe4	Low	High	0.210654	0.789346	High
