validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe2	Classe1	Classe2	Classe1	Classe1	Classe1	Classe1	Classe1	Classe3	Classe1	Classe2	Classe1	Classe6	Classe1	Classe1	Classe1	Classe5	Classe1	Low	Low	0.867141	0.132859	Low
Classe3	Classe1	Classe2	Classe1	Classe4	Classe1	Classe4	Classe2	Classe1	Classe2	Classe3	Classe2	Classe5	Classe6	Classe3	Classe5	Classe4	Classe3	High	Low	0.453615	0.546385	High
Classe3	Classe2	Classe4	Classe2	Classe1	Classe1	Classe2	Classe2	Classe3	Classe2	Classe4	Classe3	Classe4	Classe3	Classe3	Classe1	Classe4	Classe3	Low	Low	0.165587	0.834413	High
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe2	Classe4	Classe5	Classe4	Classe3	Classe3	Classe5	Classe3	Classe1	Classe4	Classe3	Low	Low	0.472122	0.527878	High
Classe4	Classe2	Classe3	Classe4	Classe1	Classe1	Classe2	Classe2	Classe3	Classe5	Classe4	Classe4	Classe3	Classe5	Classe1	Classe1	Classe4	Classe4	High	Low	0.118016	0.881984	High
Classe3	Classe2	Classe3	Classe3	Classe1	Classe1	Classe3	Classe4	Classe3	Classe2	Classe3	Classe3	Classe3	Classe5	Classe3	Classe5	Classe3	Classe3	High	Low	0.477741	0.522259	High
Classe5	Classe1	Classe2	Classe1	Classe3	Classe1	Classe3	Classe3	Classe2	Classe4	Classe3	Classe4	Classe4	Classe3	Classe3	Classe1	Classe4	Classe3	High	Low	0.213447	0.786553	High
Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe2	Classe2	Classe5	Classe4	Classe4	Classe3	Classe5	Classe3	Classe5	Classe3	Classe5	Low	Low	0.202311	0.797689	High
Classe2	Classe1	Classe4	Classe1	Classe1	Classe1	Classe6	Classe2	Classe2	Classe3	Classe5	Classe4	Classe3	Classe5	Classe3	Classe1	Classe3	Classe3	Low	Low	0.828414	0.171586	Low
Classe4	Classe1	Classe4	Classe4	Classe1	Classe1	Classe2	Classe2	Classe4	Classe5	Classe3	Classe3	Classe3	Classe3	Classe3	Classe1	Classe3	Classe3	High	Low	0.51366	0.48634	Low
Classe2	Classe2	Classe2	Classe2	Classe1	Classe1	Classe3	Classe3	Classe3	Classe2	Classe4	Classe3	Classe3	Classe4	Classe1	Classe1	Classe3	Classe3	Low	Low	0.766661	0.233339	Low
Classe4	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe2	Classe4	Classe4	Classe4	Classe2	Classe4	Classe5	Classe3	Classe3	Classe4	Classe3	High	Low	0.0571672	0.942833	High
Classe2	Classe1	Classe4	Classe1	Classe1	Classe1	Classe1	Classe1	Classe5	Classe1	Classe2	Classe1	Classe5	Classe6	Classe3	Classe1	Classe5	Classe1	High	Low	0.867281	0.132719	Low
Classe4	Classe2	Classe2	Classe2	Classe1	Classe1	Classe2	Classe1	Classe3	Classe5	Classe3	Classe2	Classe4	Classe5	Classe3	Classe5	Classe4	Classe5	Low	Low	0.298297	0.701703	High
Classe1	Classe2	Classe1	Classe2	Classe1	Classe1	Classe3	Classe3	Classe2	Classe1	Classe4	Classe3	Classe3	Classe4	Classe3	Classe4	Classe3	Classe4	Low	Low	0.914674	0.0853259	Low
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe3	Classe2	Classe4	Classe4	Classe4	Classe3	Classe4	Classe3	Classe5	Classe3	Classe4	Low	Low	0.291268	0.708732	High
